seed,best_fitness,final_fitness,runtime,diversity,top_mofs,fitness_history
0,0.651351017,0.651351017,7.706966162,0,"['GUQLOW', 'GUQLOW', 'GUQLOW', 'GUQLOW', 'GUQLOW']","[0.6341226641991555, 0.62625240139863, 0.6422228821797179, 0.6513510171189482, 0.6495407848227801, 0.6472275000557649, 0.6465038627249173, 0.645969464979364, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503, 0.6451782995258503]"
1,0.654727878,0.654727878,7.843517065,0.196103282,"['YUHNAS', 'YUHNAS', 'YUHNAS', 'YUHNAS', 'IVAFUG']","[0.6241909453692496, 0.6067630888706222, 0.6172107595085501, 0.6156022077328283, 0.6471627404652401, 0.6464117332557813, 0.6446702071463289, 0.6437157949678829, 0.6436116912782293, 0.6436116912782293, 0.6436116912782293, 0.6436116912782293, 0.6436116912782293, 0.645376753228871, 0.6446109545706686, 0.6446109545706686, 0.6446109545706686, 0.6446109545706686, 0.6446109545706686, 0.6446109545706686, 0.6446109545706686, 0.6446109545706686, 0.6446109545706686, 0.6446109545706686, 0.6446109545706686, 0.6446109545706686, 0.6446109545706686, 0.6446109545706686, 0.6446109545706686, 0.6446109545706686, 0.6446109545706686, 0.6446109545706686, 0.6446109545706686, 0.6446109545706686, 0.6446109545706686, 0.6446109545706686, 0.6547278775137485, 0.6535363192079804, 0.6508909861737712, 0.650436806528539, 0.6497609770359023, 0.6499455242239701, 0.6495815534131907, 0.6495815534131907, 0.6495815534131907, 0.6495815534131907, 0.6495815534131907, 0.6495815534131907, 0.6495815534131907, 0.6495815534131907, 0.6495815534131907, 0.6495815534131907, 0.6495815534131907, 0.6495815534131907, 0.6495815534131907, 0.6495815534131907, 0.6495815534131907, 0.6495815534131907, 0.6495815534131907, 0.6495815534131907, 0.6495815534131907, 0.6495815534131907, 0.6495815534131907, 0.6495815534131907, 0.6495815534131907, 0.6495815534131907, 0.6495815534131907, 0.6495815534131907, 0.6495815534131907, 0.6495815534131907, 0.6495815534131907, 0.6495815534131907, 0.6495815534131907, 0.6495815534131907, 0.6495815534131907, 0.6495815534131907, 0.6495815534131907, 0.6495815534131907, 0.6495815534131907, 0.6495815534131907, 0.6495815534131907, 0.6495815534131907, 0.6495815534131907, 0.6495815534131907, 0.6495815534131907, 0.6495815534131907, 0.6495815534131907, 0.6495815534131907, 0.6495815534131907, 0.6495815534131907, 0.6495815534131907, 0.6495815534131907, 0.6495815534131907, 0.6495815534131907, 0.6495815534131907, 0.6495815534131907, 0.6495815534131907, 0.6495815534131907, 0.6495815534131907, 0.6495815534131907]"
2,0.654456837,0.654456837,7.8660748,0.239711355,"['IVAFUG', 'IVAFUG', 'IVAFUG', 'YUHNAS', 'GUQLOW']","[0.6189645612978388, 0.6219116881891706, 0.6334880601187318, 0.6323949422619726, 0.6328542916669022, 0.6415104548486195, 0.6401492008553578, 0.6513846418990636, 0.6499006752322672, 0.6489680411417884, 0.6477775503404495, 0.6464731269179568, 0.6450375935099014, 0.6450375935099014, 0.6450375935099014, 0.6450375935099014, 0.6489186686665057, 0.6482469409868736, 0.6475399436885767, 0.6475399436885767, 0.6475399436885767, 0.6475399436885767, 0.6475399436885767, 0.6475399436885767, 0.6475399436885767, 0.6475399436885767, 0.6475399436885767, 0.6475399436885767, 0.6475399436885767, 0.6475399436885767, 0.6475399436885767, 0.6475399436885767, 0.6475399436885767, 0.6475399436885767, 0.6475399436885767, 0.6475399436885767, 0.6475399436885767, 0.6475399436885767, 0.6475399436885767, 0.6475399436885767, 0.6475399436885767, 0.6475399436885767, 0.6475399436885767, 0.6475399436885767, 0.6475399436885767, 0.6475399436885767, 0.6475399436885767, 0.6475399436885767, 0.6475399436885767, 0.6475399436885767, 0.6475399436885767, 0.6475399436885767, 0.6475399436885767, 0.6475399436885767, 0.6475399436885767, 0.6475399436885767, 0.6475399436885767, 0.6475399436885767, 0.6475399436885767, 0.6475399436885767, 0.6475399436885767, 0.6475399436885767, 0.6475399436885767, 0.6475399436885767, 0.6475399436885767, 0.6475399436885767, 0.6475399436885767, 0.6475399436885767, 0.6475399436885767, 0.6475399436885767, 0.6475399436885767, 0.6475399436885767, 0.6475399436885767, 0.6475399436885767, 0.6544568371737817, 0.653170092427231, 0.6517766277527997, 0.6513304420376288, 0.6513304420376288, 0.6513304420376288, 0.6513304420376288, 0.6513304420376288, 0.6513304420376288, 0.6513304420376288, 0.6513304420376288, 0.6513304420376288, 0.6513304420376288, 0.6513304420376288, 0.6513304420376288, 0.6513304420376288, 0.6513304420376288, 0.6513304420376288, 0.6513304420376288, 0.6513304420376288, 0.6513304420376288, 0.6513304420376288, 0.6513304420376288, 0.6513304420376288, 0.6513304420376288, 0.6513304420376288]"
3,0.657667037,0.657667037,7.566903114,0.189159213,"['ILINEY', 'ILINEY', 'ILINEY', 'ILINEY', 'YUHNAS']","[0.6532768540021087, 0.6419180010988519, 0.6392024600438905, 0.6365548780490091, 0.6576670366891229, 0.6575273603197423, 0.6573859650645045, 0.6532975495126553, 0.6530990859061888, 0.6530990859061888, 0.6530990859061888, 0.6530990859061888, 0.6530990859061888, 0.6530990859061888, 0.6530990859061888, 0.6530990859061888, 0.6530990859061888, 0.6530990859061888, 0.6530990859061888, 0.6530990859061888, 0.6530990859061888, 0.6530990859061888, 0.6530990859061888, 0.6530990859061888, 0.6530990859061888, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153, 0.6532079973944153]"
4,0.66288784,0.66288784,7.595721006,0,"['ILINEY', 'ILINEY', 'ILINEY', 'ILINEY', 'ILINEY']","[0.525241171436299, 0.5511876009556493, 0.6042973924750318, 0.6033236933485008, 0.635796859443233, 0.6339811522466018, 0.6491078706868502, 0.6546042010422278, 0.6532767034849758, 0.6505400867082334, 0.6508741319740201, 0.6628878395930713, 0.6610743785257758, 0.6608396941171342, 0.6606005027367097, 0.6583884598790865, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051, 0.6557497625042051]"
5,0.649033793,0.649033793,7.715339661,0.144690908,"['GUQLOW', 'GUQLOW', 'IVAFUG', 'GUQLOW', 'IVAFUG']","[0.6339765313941511, 0.6434700211511555, 0.6348784072850835, 0.6341082927820992, 0.633531376232065, 0.633531376232065, 0.633531376232065, 0.6376181231097956, 0.6475286840052072, 0.645912875443839, 0.6463002359820722, 0.6445376360183268, 0.6430955543418593, 0.6430955543418593, 0.6430955543418593, 0.6490337926286797, 0.6476207494460057, 0.6465611511582569, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775, 0.6454083352102775]"
6,0.657246425,0.657246425,7.701323032,0,"['ILINEY', 'ILINEY', 'ILINEY', 'ILINEY', 'ILINEY']","[0.6521574285956883, 0.6339339839229824, 0.6356360593719627, 0.6418464990035986, 0.6396195313848253, 0.6393560072811877, 0.6385308446417164, 0.6382461189422556, 0.6382461189422556, 0.6382461189422556, 0.6421065830777049, 0.6419579974213127, 0.6437314380512063, 0.6435274303025432, 0.6433204424446064, 0.6430380564119479, 0.6427500277167033, 0.6427500277167033, 0.6427500277167033, 0.6427500277167033, 0.6427500277167033, 0.6427500277167033, 0.6427500277167033, 0.6427500277167033, 0.6427500277167033, 0.6427500277167033, 0.6427500277167033, 0.6572464251832646, 0.6569893694182003, 0.6567276017686265, 0.6564609914814747, 0.6561894029207095, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789, 0.6555507160709789]"
7,0.657585594,0.657585594,7.699673176,0.025156884,"['IVAFUG', 'ILINEY', 'ILINEY', 'ILINEY', 'ILINEY']","[0.657585593535006, 0.6395905273838103, 0.6368733247045593, 0.6304067999943895, 0.6304067999943895, 0.6304067999943895, 0.6306771001175129, 0.6306771001175129, 0.6365681030367074, 0.6575155604261593, 0.6565148895928657, 0.6565003865278204, 0.6558299481828371, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915, 0.6551269187057915]"
8,0.657393129,0.657393129,7.596542835,0,"['ILINEY', 'ILINEY', 'ILINEY', 'ILINEY', 'ILINEY']","[0.6002451474190255, 0.5884704366277016, 0.6291995461433694, 0.6283088747247367, 0.6357217083954922, 0.634040071613676, 0.6323783881735537, 0.6300533794868378, 0.6280931071399662, 0.6280931071399662, 0.6573931286446459, 0.6572731560113991, 0.6571838212837908, 0.6567282064157518, 0.6552782764740558, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016, 0.6536633649369016]"
